0	<?x
1	ad
2	ae
3	af
4	ag
5	al
6	alt
7	am
8	ao
9	aq
10	ar
11	as
12	at
13	au
14	aw
15	ax
16	az
17	ba
18	bb
19	be
20	bg
21	bn
22	bo
23	bq
24	br
25	bs
26	by
27	bz
28	ca
29	cf
30	ch
31	cl
32	cm
33	cn
34	co
35	cr
36	cu
37	cur
38	cv
39	cw
40	cx
41	cy
42	cz
43	de
44	dj
45	dk
46	do
47	dz
48	ec
49	ee
50	eg
51	er
52	err
53	es
54	et
55	fi
56	fj
57	fk
58	fla
59	fm
60	fo
61	fr
62	ga
63	gb
64	gd
65	ge
66	gf
67	gh
68	gi
69	gl
70	gm
71	gp
72	gr
73	gt
74	gu
75	hk
76	hr
77	hu
78	id
79	ie
80	il
81	im
82	in
83	iq
84	ir
85	is
86	it
87	jo
88	jp
89	ke
90	kg
91	kh
92	kn
93	kr
94	kw
95	ky
96	kz
97	la
98	lc
99	li
100	lk
101	ls
102	lt
103	lu
104	lv
105	ly
106	ma
107	me
108	mf
109	mk
110	mn
111	mo
112	mp
113	mq
114	mr
115	mt
116	mu
117	mv
118	mx
119	my
120	na
121	nc
122	ne
123	nl
124	no
125	np
126	nz
127	om
128	opo
129	p1
130	pa
131	pe
132	pg
133	ph
134	pk
135	pl
136	pr
137	ps
138	pt
139	qa
140	re
141	rio
142	ro
143	rs
144	ru
145	sa
146	sã
147	sb
148	sbg
149	sd
150	se
151	sg
152	sh
153	si
154	sk
155	sm
156	sn
157	so
158	ss
159	sx
160	sy
161	tc
162	td
163	tg
164	th
165	tm
166	tn
167	tr
168	tw
169	tz
170	ua
171	us
172	uy
173	uz
174	va
175	ve
176	vg
177	vi
178	vn
179	vu
180	xk
181	ye
182	za
183	zw
